samp_name	technical_rep_id	assay_name	pcr_plate_id	quantificationCycle	estimatedNumberOfCopies_method	estimatedNumberOfCopies	estimatedNumberOfCopies_unit	LoDLoQLevel
CMIC636-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	1145.984888	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC637-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	6594.774246	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC637-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	7058.276176	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC637-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	8382.502556	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC638-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	38113.16681	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC638-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	37864.91394	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC638-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	38167.42325	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC639-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	66.38667732	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC639-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
CMIC639-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
CMIC640-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
CMIC640-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
CMIC640-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	72.23900408	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC772-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	146.8263716	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC772-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	149.7276127	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC772-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	2185.278416	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC773-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	83404.12903	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC773-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	82073.16589	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC773-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	80433.41827	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC774-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	373527.4792	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC774-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	369026.9232	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC774-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	368227.5057	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC775-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	81556.633	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC775-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	79498.19946	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC775-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	69923.62976	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC776-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	316.0257936	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC776-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	226.5668958	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC776-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	439.9912357	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC777-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	361.2779975	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC777-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	152.8107375	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC777-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	217.6294029	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC778-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	5281.331539	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC778-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	4327.744007	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC778-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	4640.881538	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC779-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	832.9457641	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC779-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	806.6270947	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC779-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	766.9420838	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC780-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	756.2445998	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC780-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	1204.704165	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC780-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	1429.388285	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC781-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	11226.19343	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC781-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	12119.60602	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC781-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	13658.97369	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC784-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	6734.050751	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC784-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	8362.800598	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC784-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	6321.122169	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC785-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	1753.211498	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC785-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	2302.511454	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC785-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	1866.319299	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC786-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	30069.21196	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC786-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	30407.63283	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC786-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	29883.30841	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC787-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	954.2680979	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
