samp_name	technical_rep_id	assay_name	pcr_plate_id	amp_vis_method	estimatedNumberOfCopies_method	ddPCR_totalDropletCount	ddPCR_positiveDropletCount	ddPCR_negativeDropletCount	estimatedNumberOfCopies_instrument	Extraction_Elution_Vol_uL	ddPCR_template_vol_uL	ddPCR_assay_vol_uL	Dilution_factor_ddPCR_template	estimatedNumberOfCopies	estimatedNumberOfCopies_unit	
CMIC788-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	19383	26	19357	1.69	100	2	20	1	1688.405037	copies/L	
CMIC788-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18273	34	18239	2.34	100	2	20	1	2342.643976	copies/L	
CMIC788-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18052	38	18014	2.65	100	2	20	1	2650.627136	copies/L	
CMIC789-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17251	62	17189	4.53	100	2	20	1	4528.891087	copies/L	
CMIC789-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	19034	77	18957	5.1	100	2	20	1	5098.864555	copies/L	
CMIC789-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17576	58	17518	4.16	100	2	20	1	4157.75013	copies/L	
CMIC790-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16392	2	16390	0.15	100	2	20	1	153.4819901	copies/L	
CMIC790-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17799	5	17794	0.35	100	2	20	1	353.4013927	copies/L	
CMIC790-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16902	10	16892	0.74	100	2	20	1	744.4289327	copies/L	
CMIC791-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17659	4	17655	0.28	100	2	20	1	284.9547863	copies/L	
CMIC791-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17145	6	17139	0.44	100	2	20	1	440.2735829	copies/L	
CMIC791-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16574	2	16572	0.15	100	2	20	1	151.79649	copies/L	
CMIC792-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16923	4	16919	0.3	100	2	20	1	297.3492444	copies/L	
CMIC792-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18031	10	18021	0.7	100	2	20	1	697.8040934	copies/L	
CMIC792-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14790	8	14782	0.68	100	2	20	1	680.5689931	copies/L	
CMIC793-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17569	91	17478	6.53	100	2	20	1	6532.123566	copies/L	
CMIC793-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16454	97	16357	7.44	100	2	20	1	7437.318802	copies/L	
CMIC793-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14012	64	13948	5.76	100	2	20	1	5758.460999	copies/L	
CMIC794-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	9877	25	9852	3.61	100	2	20	1	3608.686209	copies/L	
CMIC794-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17800	35	17765	4.46	100	2	20	1	4458.925724	copies/L	
CMIC794-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14261	26	14235	3.96	100	2	20	1	3959.481478	copies/L	
CMIC795-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18182	6	18176	0.42	100	2	20	1	415.158689	copies/L	
CMIC795-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16768	6	16762	0.45	100	2	20	1	450.1741529	copies/L	
CMIC795-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14984	10	14974	0.84	100	2	20	1	839.7501111	copies/L	
CMIC796-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16815	48	16767	3.6	100	2	20	1	3595.818996	copies/L	
CMIC796-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16320	47	16273	3.63	100	2	20	1	3627.744436	copies/L	
CMIC796-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16326	49	16277	3.78	100	2	20	1	3780.956745	copies/L	
CMIC797-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17618	2404	15214	184.53	100	2	20	1	184534.6527	copies/L	
CMIC797-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16897	2082	14815	165.4	100	2	20	1	165403.656	copies/L	
CMIC797-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14474	1877	12597	174.71	100	2	20	1	174710.9985	copies/L	
CMIC798-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	13450	368	13082	34.9	100	2	20	1	34895.4277	copies/L	
CMIC798-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16146	457	15689	36.12	100	2	20	1	36116.36353	copies/L	
CMIC798-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14120	469	13651	42.49	100	2	20	1	42489.87961	copies/L	
CMIC799-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17860	72	17788	5.08	100	2	20	1	5081.135273	copies/L	
CMIC799-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16377	59	16318	4.54	100	2	20	1	4539.771557	copies/L	
CMIC799-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15129	52	15077	4.33	100	2	20	1	4330.852985	copies/L	
CMIC800-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16411	15	16396	1.15	100	2	20	1	1150.237799	copies/L	
CMIC800-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15101	7	15094	0.58	100	2	20	1	583.2111835	copies/L	
CMIC800-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	13706	5	13701	0.46	100	2	20	1	458.956331	copies/L	
CMIC801-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17795	9	17786	0.64	100	2	20	1	636.3370419	copies/L	
CMIC801-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16079	10	16069	0.78	100	2	20	1	782.5443149	copies/L	
CMIC801-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15930	12	15918	0.95	100	2	20	1	947.8988051	copies/L	
CMIC802-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18470	61	18409	4.16	100	2	20	1	4161.155701	copies/L	
CMIC802-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16748	49	16699	3.69	100	2	20	1	3685.547829	copies/L	
CMIC802-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15465	62	15403	5.05	100	2	20	1	5052.968979	copies/L	
CMIC806-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18212	907	17305	64.26	100	2	20	1	64258.16345	copies/L	
CMIC806-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16411	815	15596	64.07	100	2	20	1	64072.15881	copies/L	
CMIC806-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15147	712	14435	60.56	100	2	20	1	60561.85913	copies/L	
CMIC807-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18724	158	18566	10.66	100	2	20	1	10659.33609	copies/L	
CMIC807-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15458	144	15314	11.77	100	2	20	1	11772.61066	copies/L	
CMIC807-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14148	148	14000	13.23	100	2	20	1	13227.59914	copies/L	
CMIC808-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	12228	266	11962	27.66	100	2	20	1	27664.711	copies/L	
CMIC808-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16976	393	16583	29.46	100	2	20	1	29462.27264	copies/L	
CMIC808-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15756	389	15367	31.45	100	2	20	1	31445.14656	copies/L	
CMIC809-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15336	3	15333	0.25	100	2	20	1	246.0846305	copies/L	
CMIC809-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14761	2	14759	0.17	100	2	20	1	170.4419553	copies/L	
CMIC809-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18194	3	18191	0.21	100	2	20	1	207.4252963	copies/L	
CMIC810-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15055	66	14989	5.53	100	2	20	1	5526.494503	copies/L	
CMIC810-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15705	80	15625	6.42	100	2	20	1	6423.820019	copies/L	
CMIC810-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16496	47	16449	3.59	100	2	20	1	3588.983774	copies/L	
CMIC811-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17489	54	17435	3.89	100	2	20	1	3889.851093	copies/L	
CMIC811-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15677	39	15638	3.13	100	2	20	1	3133.107424	copies/L	
CMIC811-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15639	38	15601	3.06	100	2	20	1	3060.100079	copies/L	
CMIC812-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17852	14	17838	0.99	100	2	20	1	986.8345857	copies/L	
CMIC812-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15850	17	15833	1.35	100	2	20	1	1349.849939	copies/L	
CMIC812-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14371	12	14359	1.05	100	2	20	1	1050.771952	copies/L	
CMIC814-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17281	79	17202	5.76	100	2	20	1	5763.491154	copies/L	
CMIC814-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14460	74	14386	6.45	100	2	20	1	6453.717232	copies/L	
CMIC814-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15260	65	15195	5.37	100	2	20	1	5369.307518	copies/L	
CMIC817-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17853	112	17741	7.92	100	2	20	1	7915.995121	copies/L	
CMIC817-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14586	87	14499	7.53	100	2	20	1	7525.135517	copies/L	
CMIC817-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15506	89	15417	7.24	100	2	20	1	7240.564823	copies/L	
CMIC818-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17965	27	17938	1.89	100	2	20	1	1891.890407	copies/L	
CMIC818-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15862	29	15833	2.3	100	2	20	1	2301.813841	copies/L	
CMIC818-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18432	27	18405	1.84	100	2	20	1	1843.921542	copies/L	
